site,transect,plot,settype, S,vegcvrall,freshholes,dung,distance (m)
Keyrensa,T4,p092,Seasonal,12,0.55,4,23,250
Keyrensa,T4,p093,Seasonal,12,0.4275,10,35,500
Keyrensa,T4,p094,Seasonal,13,0.4425,0,41,750
Keyrensa,T4,p095,Seasonal,10,0.475,0,49,1000
Keyrensa,T4,p096,Seasonal,11,0.6925,51,45,1250
Keyrensa,T5,p097,Seasonal,12,0.18,26,50,0
Keyrensa,T5,p098,Seasonal,10,0.4125,9,75,250
Keyrensa,T5,p099,Seasonal,11,0.375,8,27,500
Keyrensa,T5,p100,Seasonal,9,0.4875,0,27,750
Keyrensa,T5,p101,Seasonal,10,0.6,61,32,1000
Keyrensa,T5,p102,Seasonal,16,0.565,0,66,1250
Keyrensa,T6,p103,Seasonal,16,0.1975,0,150,0
Keyrensa,T6,p104,Seasonal,13,0.45,0,72,250
Keyrensa,T6,p105,Seasonal,12,0.485,0,52,500
Keyrensa,T6,p106,Seasonal,12,0.325,0,31,750
Keyrensa,T6,p107,Seasonal,12,0.525,0,37,1000
Keyrensa,T6,p108,Seasonal,13,0.4375,0,38,1250
Morebawa,T1,p109,Permanent,5,0.0025,0,170,0
Morebawa,T1,p110,Permanent,13,0.575,0,98,250
Morebawa,T1,p111,Permanent,18,0.4375,0,42,500
Morebawa,T1,p112,Permanent,16,0.575,0,74,750
Morebawa,T1,p113,Permanent,14,0.5125,0,42,1000
Morebawa,T1,p114,Permanent,11,0.42,0,7,1250
Morebawa,T2,p115,Permanent,9,0.1375,0,150,0
Morebawa,T2,p116,Permanent,10,0.425,47,111,250
Morebawa,T2,p117,Permanent,16,0.375,0,20,500
Morebawa,T2,p118,Permanent,14,0.4525,0,18,750
Morebawa,T2,p119,Permanent,12,0.445,0,12,1000
Morebawa,T2,p120,Permanent,11,0.335,0,12,1250
Morebawa,T3,p121,Permanent,8,0.3,0,120,0
Morebawa,T3,p122,Permanent,11,0.575,0,141,250
Morebawa,T3,p123,Permanent,16,0.295,0,11,500
Morebawa,T3,p124,Permanent,14,0.8,136,78,750
Morebawa,T3,p125,Permanent,12,0.6125,0,54,1000
Morebawa,T3,p126,Permanent,10,0.475,79,72,1250
Morebawa,T4,p127,Seasonal,8,0.335,0,117,0
Morebawa,T4,p128,Seasonal,16,0.35,2,22,250
Morebawa,T4,p129,Seasonal,9,0.35,11,15,500
Morebawa,T4,p130,Seasonal,16,0.6125,29,35,750
Morebawa,T4,p131,Seasonal,9,0.4575,26,28,1000
Morebawa,T4,p132,Seasonal,5,0.5875,7,20,1250
Morebawa,T5,p133,Seasonal,14,0.175,0,183,0
Morebawa,T5,p134,Seasonal,14,0.5125,6,109,250
Morebawa,T5,p135,Seasonal,18,0.5125,14,46,500
Morebawa,T5,p136,Seasonal,15,0.4625,67,66,750
Morebawa,T5,p137,Seasonal,4,0.8125,0,16,1000
Morebawa,T5,p138,Seasonal,10,0.5625,8,126,1250
Morebawa,T6,p139,Seasonal,7,0.2625,160,84,0
Morebawa,T6,p140,Seasonal,13,0.5625,0,17,250
Morebawa,T6,p141,Seasonal,14,0.475,21,17,500
Morebawa,T6,p142,Seasonal,16,0.6,73,25,750
Morebawa,T6,p143,Seasonal,17,0.375,0,15,1000
Morebawa,T6,p144,Seasonal,14,0.4875,15,26,1250
Genalle,T1,p145,Seasonal,14,0.35,19,160,0
Genalle,T1,p146,Seasonal,5,0.2125,213,48,250
Genalle,T1,p147,Seasonal,17,0.425,23,49,500
Genalle,T1,p148,Seasonal,8,0.45,19,62,750
Genalle,T1,p149,Seasonal,9,0.475,0,0,1000
Genalle,T1,p150,Seasonal,14,0.52,0,22,1250
Genalle,T2,p151,Seasonal,10,0.3125,29,250,0
Genalle,T2,p152,Seasonal,12,0.525,0,49,250
Genalle,T2,p153,Seasonal,19,0.5375,130,130,500
Genalle,T2,p154,Seasonal,12,0.55,0,32,750
Genalle,T2,p155,Seasonal,9,0.3625,90,47,1000
Genalle,T2,p156,Seasonal,12,0.3125,249,41,1250
Genalle,T3,p157,Seasonal,9,0.3,0,135,0
Genalle,T3,p158,Seasonal,24,0.25,333,59,250
Genalle,T3,p159,Seasonal,10,0.3125,154,49,500
Genalle,T3,p160,Seasonal,11,0.325,195,56,750
Genalle,T3,p161,Seasonal,13,0.2125,323,74,1000
Genalle,T3,p162,Seasonal,15,0.3775,106,85,1250
Genalle,T4,p163,Permanent,8,0.165,0,140,0
Genalle,T4,p164,Permanent,16,0.7275,0,168,250
Genalle,T4,p165,Permanent,9,0.525,0,35,500
Genalle,T4,p166,Permanent,11,0.5625,0,11,750
Genalle,T4,p167,Permanent,13,0.5125,0,22,1000
Genalle,T4,p168,Permanent,14,0.4125,0,15,1250
Genalle,T5,p169,Permanent,10,0.1275,0,120,0
Genalle,T5,p170,Permanent,16,0.4875,0,87,250
Genalle,T5,p171,Permanent,16,0.425,177,97,500
Genalle,T5,p172,Permanent,16,0.425,71,30,750
Genalle,T5,p173,Permanent,13,0.2475,61,135,1000
Genalle,T5,p174,Permanent,15,0.4625,0,36,1250
Genalle,T6,p175,Permanent,3,0.05,0,250,0
Genalle,T6,p176,Permanent,14,0.425,0,62,250
Genalle,T6,p177,Permanent,18,0.4075,14,35,500
Genalle,T6,p178,Permanent,10,0.3375,54,15,750
Genalle,T6,p179,Permanent,16,0.5125,0,46,1000
Genalle,T6,p180,Permanent,9,0.5,0,9,1250
Sodota,T1,p181,Seasonal,11,0.1,4,120,0
Sodota,T1,p182,Seasonal,15,0.715,46,87,250
Sodota,T1,p183,Seasonal,8,0.7,0,53,500
Sodota,T1,p184,Seasonal,14,0.6625,33,38,750
Sodota,T1,p185,Seasonal,6,0.75,5,19,1000
Sodota,T1,p186,Seasonal,7,0.7875,8,50,1250
Sodota,T2,p187,Seasonal,3,0.35,0,130,0
Sodota,T2,p188,Seasonal,12,0.7125,49,59,250
Sodota,T2,p189,Seasonal,12,0.275,84,42,500
Sodota,T2,p190,Seasonal,8,0.7375,41,33,750
Sodota,T2,p191,Seasonal,9,0.5125,5,41,1000
Sodota,T2,p192,Seasonal,11,0.7,16,73,1250
Sodota,T3,p193,Seasonal,5,0.0375,0,140,0
Sodota,T3,p194,Seasonal,10,0.8,14,45,250
Sodota,T3,p195,Seasonal,11,0.75,0,22,500
Sodota,T3,p196,Seasonal,8,0.725,0,28,750
Sodota,T3,p197,Seasonal,9,0.5375,0,39,1000
Sodota,T3,p198,Seasonal,15,0.915,0,53,1250
Sodota,T4,p199,Permanent,12,0.13,0,100,0
Sodota,T4,p200,Permanent,8,0.4375,247,57,250
Sodota,T4,p201,Permanent,9,0.2375,278,36,500
Sodota,T4,p202,Permanent,11,0.2875,235,30,750
Sodota,T4,p203,Permanent,9,0.3175,5,20,1000
Sodota,T4,p204,Permanent,8,0.3575,9,13,1250
Sodota,T5,p205,Permanent,6,0.1375,0,100,0
Sodota,T5,p206,Permanent,14,0.3875,96,25,250
Sodota,T5,p207,Permanent,11,0.5125,7,30,500
Sodota,T5,p208,Permanent,17,0.285,39,56,750
Sodota,T5,p209,Permanent,10,0.65,20,57,1000
Sodota,T5,p210,Permanent,14,0.2975,253,38,1250
Sodota,T6,p211,Permanent,10,0.125,0,140,0
Sodota,T6,p212,Permanent,10,0.3775,17,27,250
Sodota,T6,p213,Permanent,10,0.425,0,52,500
Sodota,T6,p214,Permanent,8,0.3375,112,36,750
Sodota,T6,p215,Permanent,8,0.425,80,49,1000
Sodota,T6,p216,Permanent,11,0.4875,12,41,1250
