"origin","species_name","site_name","abundance"
"Native","Acacia dealbata","Dargo1.1",NA
"Native","Acacia falciformis","Dargo1.1",NA
"Native","Acacia mearnsii","Dargo1.1",NA
"Native","Acacia melanoxylon","Dargo1.1",NA
"Native","Acacia obliquinervia","Dargo1.1",NA
"Native","Acacia pycnantha","Dargo1.1",NA
"Native","Acacia terminalis","Dargo1.1",NA
"Native","Acaena agnipila","Dargo1.1",NA
"Native","Acaena echinata","Dargo1.1",NA
"Native","Acaena novae-zelandiae","Dargo1.1",NA
"Exotic","Acetosella vulgaris","Dargo1.1",2
"Native","Agrostis aemula","Dargo1.1",NA
"Exotic","Agrostis capillaris s.l.","Dargo1.1",3
"Native","Eragrostis cilianensis","Dargo1.1",NA
"Exotic","Aira caryophyllea","Dargo1.1",NA
"Exotic","Aira cupaniana","Dargo1.1",NA
"Exotic","Aira elegantissima","Dargo1.1",NA
"Exotic","Anagallis arvensis s.l.","Dargo1.1",1
"Exotic","Anthoxanthum odoratum","Dargo1.1",1
"Native","Aphanes arvensis","Dargo1.1",NA
"Exotic","Arctotheca calendula","Dargo1.1",NA
"Native","Arthropodium milleflorum","Dargo1.1",NA
"Native","Asperula conferta","Dargo1.1",NA
"Native","Asperula gunnii","Dargo1.1",NA
"Native","Asperula pusilla","Dargo1.1",NA
"Native","Asperula scoparia","Dargo1.1",NA
"Native","Austrostipa spp.","Dargo1.1",NA
"Native","Billardiera mutabilis","Dargo1.1",NA
"Native","Billardiera scandens","Dargo1.1",NA
"Native","Bothriochloa macra","Dargo1.1",NA
"Native","Brachyscome decipiens","Dargo1.1",NA
"Native","Brachyscome spathulata","Dargo1.1",NA
"Native","Bracteantha viscosa","Dargo1.1",NA
"Exotic","Briza maxima","Dargo1.1",1
"Exotic","Briza minor","Dargo1.1",NA
"Exotic","Bromus catharticus s.l.","Dargo1.1",NA
"Exotic","Bromus hordeaceus","Dargo1.1",1
"Native","Bursaria spinosa s.l.","Dargo1.1",NA
"Native","Carex appressa","Dargo1.1",NA
"Native","Carex breviculmis","Dargo1.1",NA
"Native","Carex gaudichaudiana","Dargo1.1",NA
"Native","Cassinia aculeata","Dargo1.1",NA
"Native","Cassinia longifolia","Dargo1.1",1
"Native","Celmisia tomentella","Dargo1.1",NA
"Exotic","Centaurium erythraea","Dargo1.1",NA
"Exotic","Cerastium glomeratum","Dargo1.1",NA
"Exotic","Cerastium vulgare","Dargo1.1",NA
"Native","Cheilanthes spp.","Dargo1.1",NA
"Exotic","Chenopodium album","Dargo1.1",NA
"Native","Chiloglottis valida","Dargo1.1",NA
"Exotic","Cirsium vulgare","Dargo1.1",1
"Native","Clematis aristata","Dargo1.1",NA
"Native","Clematis microphylla","Dargo1.1",NA
"Exotic","Conyza bonariensis","Dargo1.1",1
"Exotic","Conyza canadensis","Dargo1.1",NA
"Native","Coprosma hirtella","Dargo1.1",NA
"Native","Coprosma quadrifida","Dargo1.1",NA
"Native","Cotula alpina","Dargo1.1",NA
"Native","Craspedia spp.","Dargo1.1",NA
"Native","Crassula sieberiana","Dargo1.1",NA
"Native","Crassula spp.","Dargo1.1",NA
"Native","Cymbonotus lawsonianus","Dargo1.1",NA
"Exotic","Cynodon dactylon s.l.","Dargo1.1",2
"Exotic","Cynosurus echinatus","Dargo1.1",1
"Exotic","Cyperus eragrostis","Dargo1.1",NA
"Exotic","Cyperus spp.","Dargo1.1",NA
"Exotic","Dactylis glomerata","Dargo1.1",NA
"Native","Daucus glochidiatus","Dargo1.1",NA
"Native","Daviesia ulicifolia s.l.","Dargo1.1",NA
"Native","Deyeuxia monticola","Dargo1.1",NA
"Native","Deyeuxia quadriseta","Dargo1.1",NA
"Native","Deyeuxia spp.","Dargo1.1",NA
"Native","Dianella tasmanica","Dargo1.1",NA
"Native","Dichelachne micrantha","Dargo1.1",NA
"Native","Dichelachne rara","Dargo1.1",NA
"Native","Dichelachne spp.","Dargo1.1",NA
"Native","Dichondra repens","Dargo1.1",NA
"Exotic","Digitaria sanguinalis","Dargo1.1",2
"Native","Dipodium spp.","Dargo1.1",NA
"Exotic","Eleusine tristachya","Dargo1.1",2
"Native","Elymus scaber","Dargo1.1",NA
"Exotic","Epilobium ciliatum","Dargo1.1",NA
"Native","Epilobium hirtigerum","Dargo1.1",NA
"Native","Epilobium spp.","Dargo1.1",NA
"Native","Eragrostis brownii","Dargo1.1",NA
"Native","Eragrostis amuta","Dargo1.1",NA
"Native","Eucalyptus bridgesiana","Dargo1.1",1
"Native","Eucalyptus dalrympleana","Dargo1.1",NA
"Native","Eucalyptus delegatensis","Dargo1.1",NA
"Native","Eucalyptus dives","Dargo1.1",NA
"Native","Eucalyptus goniocalyx","Dargo1.1",NA
"Native","Eucalyptus melliodora","Dargo1.1",NA
"Native","Eucalyptus obliqua","Dargo1.1",NA
"Native","Eucalyptus pauciflora s.l.","Dargo1.1",NA
"Native","Eucalyptus radiata","Dargo1.1",NA
"Native","Eucalyptus rubida","Dargo1.1",NA
"Native","Eucalyptus sieberi","Dargo1.1",NA
"Native","Euchiton collinus","Dargo1.1",NA
"Native","Euchiton fordianus","Dargo1.1",NA
"Native","Euchiton involucratus","Dargo1.1",NA
"Native","Euchiton sphaericus","Dargo1.1",1
"Native","Exocarpos cupressiformis","Dargo1.1",NA
"Exotic","Festuca rubra","Dargo1.1",NA
"Native","Galium ciliare","Dargo1.1",NA
"Native","Galium divaricatum","Dargo1.1",NA
"Exotic","Gamochaeta calviceps","Dargo1.1",NA
"Exotic","Gamochaeta coarctata","Dargo1.1",NA
"Exotic","Gamochaeta purpurea","Dargo1.1",1
"Native","Geranium antrorsum","Dargo1.1",NA
"Native","Geranium potentilloides s.l.","Dargo1.1",NA
"Native","Glycine clandestina","Dargo1.1",NA
"Native","Gonocarpus micranthus","Dargo1.1",NA
"Native","Gonocarpus tetragynus","Dargo1.1",NA
"Native","Grevillea australis","Dargo1.1",NA
"Native","Hakea microcarpa","Dargo1.1",NA
"Native","Hardenbergia violacea","Dargo1.1",NA
"Native","Helichrysum rutidolepis","Dargo1.1",NA
"Exotic","Holcus lanatus","Dargo1.1",1
"Exotic","Hordeum spp.","Dargo1.1",NA
"Native","Hovea asperifolia","Dargo1.1",NA
"Native","Hydrocotyle algida","Dargo1.1",NA
"Native","Hydrocotyle hirta","Dargo1.1",NA
"Native","Hydrocotyle laxiflora","Dargo1.1",NA
"Native","Hypericum gramineum","Dargo1.1",NA
"Native","Hypericum japonicum","Dargo1.1",NA
"Exotic","Hypericum perforatum","Dargo1.1",2
"Exotic","Hypochaeris radicata","Dargo1.1",2
"Native","Isolepis marginata","Dargo1.1",NA
"Exotic","Juncus articulatus","Dargo1.1",NA
"Exotic","Juncus bufonius","Dargo1.1",NA
"Native","Juncus falcatus","Dargo1.1",NA
"Native","Juncus spp.","Dargo1.1",NA
"Native","Lachnagrostis filiformis","Dargo1.1",NA
"Native","Lachnagrostis spp.","Dargo1.1",NA
"Native","Lagenophora stipitata","Dargo1.1",NA
"Exotic","Leontodon taraxacoides","Dargo1.1",NA
"Exotic","Lepidium africanum","Dargo1.1",NA
"Native","Leptinella filicula","Dargo1.1",NA
"Native","Leptinella spp.","Dargo1.1",NA
"Native","Leptospermum brevipes","Dargo1.1",NA
"Exotic","Leucanthemum vulgare","Dargo1.1",NA
"Native","Leucopogon gelidus","Dargo1.1",NA
"Native","Leucopogon hookeri","Dargo1.1",NA
"Exotic","Lolium perenne s.l.","Dargo1.1",NA
"Native","Lomandra filiformis","Dargo1.1",NA
"Exotic","Lotus spp.","Dargo1.1",NA
"Exotic","Lotus uliginosus","Dargo1.1",NA
"Native","Luzula meridionalis","Dargo1.1",NA
"Native","Luzula modesta","Dargo1.1",NA
"Native","Luzula novae-cambriae","Dargo1.1",NA
"Native","Luzula spp.","Dargo1.1",NA
"Native","Lythrum hyssopifolia","Dargo1.1",1
"Exotic","Malus domestica","Dargo1.1",NA
"Native","Melicytus dentatus","Dargo1.1",NA
"Native","Microlaena stipoides","Dargo1.1",NA
"Native","Monotoca scoparia","Dargo1.1",NA
"Native","Olearia erubescens","Dargo1.1",NA
"Native","Olearia lirata","Dargo1.1",NA
"Native","Olearia myrsinoides","Dargo1.1",NA
"Native","Opercularia spp.","Dargo1.1",NA
"Native","Oreomyrrhis eriopoda","Dargo1.1",NA
"Native","Oxalis exilis","Dargo1.1",1
"Native","Oxalis perennans","Dargo1.1",NA
"Native","Ozothamnus ferrugineus","Dargo1.1",NA
"Native","Ozothamnus thyrsoideus","Dargo1.1",NA
"Native","Pandorea pandorana","Dargo1.1",NA
"Exotic","Paspalum dilatatum","Dargo1.1",2
"Native","Persoonia confertiflora","Dargo1.1",NA
"Exotic","Petrorhagia velutina","Dargo1.1",NA
"Exotic","Phleum pratense","Dargo1.1",NA
"Native","Pimelea axiflora","Dargo1.1",NA
"Native","Plantago coronopus","Dargo1.1",NA
"Native","Plantago debilis","Dargo1.1",NA
"Exotic","Plantago lanceolata","Dargo1.1",2
"Exotic","Plantago major","Dargo1.1",NA
"Native","Plantago varia","Dargo1.1",NA
"Exotic","Poa annua","Dargo1.1",NA
"Native","Poa clivicola","Dargo1.1",NA
"Native","Poa ensiformis","Dargo1.1",NA
"Native","Poa fawcettiae","Dargo1.1",NA
"Native","Poa hiemata","Dargo1.1",NA
"Native","Poa labillardierei","Dargo1.1",NA
"Native","Poa sieberiana s.l.","Dargo1.1",NA
"Native","Podolobium alpestre","Dargo1.1",NA
"Exotic","Polygonum aviculare","Dargo1.1",NA
"Native","Polyscias sambucifolia","Dargo1.1",NA
"Native","Polystichum proliferum","Dargo1.1",NA
"Native","Poranthera microphylla","Dargo1.1",NA
"Native","Prasophyllum alpinum","Dargo1.1",NA
"Exotic","Prunella vulgaris","Dargo1.1",NA
"Exotic","Pseudognaphalium luteoalbum","Dargo1.1",NA
"Native","Pteridium esculentum","Dargo1.1",NA
"Native","Pterostylis spp.","Dargo1.1",NA
"Native","Pultenaea forsythiana","Dargo1.1",NA
"Native","Ranunculus graniticola","Dargo1.1",NA
"Exotic","Rosa rubiginosa","Dargo1.1",NA
"Exotic","Rubus fruticosus spp. agg.","Dargo1.1",1
"Native","Rubus parvifolius","Dargo1.1",NA
"Native","Rumex brownii","Dargo1.1",NA
"Exotic","Rumex spp.","Dargo1.1",NA
"Native","Rytidosperma pallidum","Dargo1.1",NA
"Native","Rytidosperma spp.","Dargo1.1",NA
"Native","Schoenus apogon","Dargo1.1",NA
"Native","Scleranthus biflorus","Dargo1.1",NA
"Native","Senecio gunnii","Dargo1.1",NA
"Native","Senecio linearifolius s.l.","Dargo1.1",NA
"Native","Senecio pinnatifolius s.l.","Dargo1.1",NA
"Native","Senecio quadridentatus","Dargo1.1",NA
"Native","Senecio spp.","Dargo1.1",NA
"Native","Senecio tenuiflorus","Dargo1.1",NA
"Native","Setaria parviflora","Dargo1.1",1
"Exotic","Sisyrinchium iridifolium","Dargo1.1",1
"Exotic","Solanum americanum","Dargo1.1",NA
"Exotic","Solanum cinereum","Dargo1.1",NA
"Exotic","Solanum nigrum","Dargo1.1",1
"Exotic","Sonchus asper","Dargo1.1",NA
"Exotic","Sonchus oleraceus","Dargo1.1",NA
"Exotic","Spergularia rubra","Dargo1.1",2
"Exotic","Sporobolus africanus","Dargo1.1",NA
"Native","Stellaria pungens","Dargo1.1",NA
"Native","Stylidium spp.","Dargo1.1",NA
"Exotic","Taraxacum officinale spp. agg.","Dargo1.1",NA
"Native","Tetrarrhena juncea","Dargo1.1",NA
"Native","Thelymitra spp.","Dargo1.1",NA
"Exotic","Trifolium arvense","Dargo1.1",NA
"Exotic","Trifolium campestre","Dargo1.1",1
"Exotic","Trifolium hybridum","Dargo1.1",NA
"Exotic","Trifolium pratense","Dargo1.1",NA
"Exotic","Trifolium repens","Dargo1.1",1
"Exotic","Trifolium subterraneum","Dargo1.1",NA
"Exotic","Verbascum thapsus","Dargo1.1",NA
"Exotic","Verbascum virgatum","Dargo1.1",1
"Exotic","Verbena bonariensis","Dargo1.1",1
"Exotic","Veronica arvensis","Dargo1.1",NA
"Native","Veronica calycina","Dargo1.1",NA
"Exotic","Veronica persica","Dargo1.1",NA
"Exotic","Vicia sativa","Dargo1.1",NA
"Exotic","Viola arvensis","Dargo1.1",NA
"Native","Viola betonicifolia","Dargo1.1",NA
"Native","Viola hederacea","Dargo1.1",NA
"Native","Vittadinia spp.","Dargo1.1",NA
"Exotic","Vulpia bromoides","Dargo1.1",NA
"Exotic","Vulpia myuros","Dargo1.1",1
"Native","Wahlenbergia gloriosa","Dargo1.1",NA
"Native","Wahlenbergia spp.","Dargo1.1",NA
"Native","Xerochrysum bracteatum","Dargo1.1",NA
"Native","Xerochrysum subundulatum","Dargo1.1",NA
"Native","Acacia dealbata","Dargo2.1",NA
"Native","Acacia falciformis","Dargo2.1",NA
"Native","Acacia mearnsii","Dargo2.1",1
"Native","Acacia melanoxylon","Dargo2.1",1
"Native","Acacia obliquinervia","Dargo2.1",NA
"Native","Acacia pycnantha","Dargo2.1",NA
"Native","Acacia terminalis","Dargo2.1",NA
"Native","Acaena agnipila","Dargo2.1",NA
"Native","Acaena echinata","Dargo2.1",NA
"Native","Acaena novae-zelandiae","Dargo2.1",NA
"Exotic","Acetosella vulgaris","Dargo2.1",NA
"Native","Agrostis aemula","Dargo2.1",1
"Exotic","Agrostis capillaris s.l.","Dargo2.1",NA
"Native","Eragrostis cilianensis","Dargo2.1",NA
"Exotic","Aira caryophyllea","Dargo2.1",1
"Exotic","Aira cupaniana","Dargo2.1",NA
"Exotic","Aira elegantissima","Dargo2.1",NA
"Exotic","Anagallis arvensis s.l.","Dargo2.1",1
"Exotic","Anthoxanthum odoratum","Dargo2.1",NA
"Native","Aphanes arvensis","Dargo2.1",NA
"Exotic","Arctotheca calendula","Dargo2.1",NA
"Native","Arthropodium milleflorum","Dargo2.1",NA
"Native","Asperula conferta","Dargo2.1",NA
"Native","Asperula gunnii","Dargo2.1",NA
"Native","Asperula pusilla","Dargo2.1",NA
"Native","Asperula scoparia","Dargo2.1",NA
"Native","Austrostipa spp.","Dargo2.1",NA
"Native","Billardiera mutabilis","Dargo2.1",NA
"Native","Billardiera scandens","Dargo2.1",NA
"Native","Bothriochloa macra","Dargo2.1",NA
"Native","Brachyscome decipiens","Dargo2.1",NA
"Native","Brachyscome spathulata","Dargo2.1",NA
"Native","Bracteantha viscosa","Dargo2.1",NA
"Exotic","Briza maxima","Dargo2.1",1
"Exotic","Briza minor","Dargo2.1",1
"Exotic","Bromus catharticus s.l.","Dargo2.1",NA
"Exotic","Bromus hordeaceus","Dargo2.1",NA
"Native","Bursaria spinosa s.l.","Dargo2.1",1
"Native","Carex appressa","Dargo2.1",NA
"Native","Carex breviculmis","Dargo2.1",NA
"Native","Carex gaudichaudiana","Dargo2.1",NA
"Native","Cassinia aculeata","Dargo2.1",NA
"Native","Cassinia longifolia","Dargo2.1",2
"Native","Celmisia tomentella","Dargo2.1",NA
"Exotic","Centaurium erythraea","Dargo2.1",NA
"Exotic","Cerastium glomeratum","Dargo2.1",1
"Exotic","Cerastium vulgare","Dargo2.1",NA
"Native","Cheilanthes spp.","Dargo2.1",NA
"Exotic","Chenopodium album","Dargo2.1",NA
"Native","Chiloglottis valida","Dargo2.1",NA
"Exotic","Cirsium vulgare","Dargo2.1",NA
"Native","Clematis aristata","Dargo2.1",1
"Native","Clematis microphylla","Dargo2.1",1
"Exotic","Conyza bonariensis","Dargo2.1",1
"Exotic","Conyza canadensis","Dargo2.1",NA
"Native","Coprosma hirtella","Dargo2.1",NA
"Native","Coprosma quadrifida","Dargo2.1",NA
"Native","Cotula alpina","Dargo2.1",NA
"Native","Craspedia spp.","Dargo2.1",NA
"Native","Crassula sieberiana","Dargo2.1",NA
"Native","Crassula spp.","Dargo2.1",NA
"Native","Cymbonotus lawsonianus","Dargo2.1",NA
"Exotic","Cynodon dactylon s.l.","Dargo2.1",2
"Exotic","Cynosurus echinatus","Dargo2.1",1
"Exotic","Cyperus eragrostis","Dargo2.1",NA
"Exotic","Cyperus spp.","Dargo2.1",NA
"Exotic","Dactylis glomerata","Dargo2.1",NA
"Native","Daucus glochidiatus","Dargo2.1",NA
"Native","Daviesia ulicifolia s.l.","Dargo2.1",NA
"Native","Deyeuxia monticola","Dargo2.1",NA
"Native","Deyeuxia quadriseta","Dargo2.1",NA
"Native","Deyeuxia spp.","Dargo2.1",NA
"Native","Dianella tasmanica","Dargo2.1",NA
"Native","Dichelachne micrantha","Dargo2.1",NA
"Native","Dichelachne rara","Dargo2.1",NA
"Native","Dichelachne spp.","Dargo2.1",1
"Native","Dichondra repens","Dargo2.1",NA
"Exotic","Digitaria sanguinalis","Dargo2.1",1
"Native","Dipodium spp.","Dargo2.1",1
"Exotic","Eleusine tristachya","Dargo2.1",1
"Native","Elymus scaber","Dargo2.1",NA
"Exotic","Epilobium ciliatum","Dargo2.1",NA
"Native","Epilobium hirtigerum","Dargo2.1",NA
"Native","Epilobium spp.","Dargo2.1",NA
"Native","Eragrostis brownii","Dargo2.1",NA
"Native","Eragrostis amuta","Dargo2.1",NA
"Native","Eucalyptus bridgesiana","Dargo2.1",1
"Native","Eucalyptus dalrympleana","Dargo2.1",NA
"Native","Eucalyptus delegatensis","Dargo2.1",NA
"Native","Eucalyptus dives","Dargo2.1",1
"Native","Eucalyptus goniocalyx","Dargo2.1",NA
"Native","Eucalyptus melliodora","Dargo2.1",1
"Native","Eucalyptus obliqua","Dargo2.1",NA
"Native","Eucalyptus pauciflora s.l.","Dargo2.1",NA
"Native","Eucalyptus radiata","Dargo2.1",NA
"Native","Eucalyptus rubida","Dargo2.1",NA
"Native","Eucalyptus sieberi","Dargo2.1",NA
"Native","Euchiton collinus","Dargo2.1",NA
"Native","Euchiton fordianus","Dargo2.1",NA
"Native","Euchiton involucratus","Dargo2.1",NA
"Native","Euchiton sphaericus","Dargo2.1",1
"Native","Exocarpos cupressiformis","Dargo2.1",NA
"Exotic","Festuca rubra","Dargo2.1",NA
"Native","Galium ciliare","Dargo2.1",NA
"Native","Galium divaricatum","Dargo2.1",NA
"Exotic","Gamochaeta calviceps","Dargo2.1",NA
"Exotic","Gamochaeta coarctata","Dargo2.1",NA
"Exotic","Gamochaeta purpurea","Dargo2.1",1
"Native","Geranium antrorsum","Dargo2.1",NA
"Native","Geranium potentilloides s.l.","Dargo2.1",1
"Native","Glycine clandestina","Dargo2.1",NA
"Native","Gonocarpus micranthus","Dargo2.1",NA
"Native","Gonocarpus tetragynus","Dargo2.1",NA
"Native","Grevillea australis","Dargo2.1",NA
"Native","Hakea microcarpa","Dargo2.1",NA
"Native","Hardenbergia violacea","Dargo2.1",NA
"Native","Helichrysum rutidolepis","Dargo2.1",NA
"Exotic","Holcus lanatus","Dargo2.1",1
"Exotic","Hordeum spp.","Dargo2.1",NA
"Native","Hovea asperifolia","Dargo2.1",NA
"Native","Hydrocotyle algida","Dargo2.1",NA
"Native","Hydrocotyle hirta","Dargo2.1",NA
"Native","Hydrocotyle laxiflora","Dargo2.1",NA
"Native","Hypericum gramineum","Dargo2.1",NA
"Native","Hypericum japonicum","Dargo2.1",NA
"Exotic","Hypericum perforatum","Dargo2.1",1
"Exotic","Hypochaeris radicata","Dargo2.1",2
"Native","Isolepis marginata","Dargo2.1",NA
"Exotic","Juncus articulatus","Dargo2.1",NA
"Exotic","Juncus bufonius","Dargo2.1",NA
"Native","Juncus falcatus","Dargo2.1",NA
"Native","Juncus spp.","Dargo2.1",NA
"Native","Lachnagrostis filiformis","Dargo2.1",NA
"Native","Lachnagrostis spp.","Dargo2.1",NA
"Native","Lagenophora stipitata","Dargo2.1",NA
"Exotic","Leontodon taraxacoides","Dargo2.1",NA
"Exotic","Lepidium africanum","Dargo2.1",NA
"Native","Leptinella filicula","Dargo2.1",NA
"Native","Leptinella spp.","Dargo2.1",NA
"Native","Leptospermum brevipes","Dargo2.1",2
"Exotic","Leucanthemum vulgare","Dargo2.1",NA
"Native","Leucopogon gelidus","Dargo2.1",NA
"Native","Leucopogon hookeri","Dargo2.1",NA
"Exotic","Lolium perenne s.l.","Dargo2.1",NA
"Native","Lomandra filiformis","Dargo2.1",NA
"Exotic","Lotus spp.","Dargo2.1",NA
"Exotic","Lotus uliginosus","Dargo2.1",NA
"Native","Luzula meridionalis","Dargo2.1",NA
"Native","Luzula modesta","Dargo2.1",NA
"Native","Luzula novae-cambriae","Dargo2.1",NA
"Native","Luzula spp.","Dargo2.1",NA
"Native","Lythrum hyssopifolia","Dargo2.1",NA
"Exotic","Malus domestica","Dargo2.1",NA
"Native","Melicytus dentatus","Dargo2.1",NA
"Native","Microlaena stipoides","Dargo2.1",1
"Native","Monotoca scoparia","Dargo2.1",NA
"Native","Olearia erubescens","Dargo2.1",NA
"Native","Olearia lirata","Dargo2.1",NA
"Native","Olearia myrsinoides","Dargo2.1",NA
"Native","Opercularia spp.","Dargo2.1",NA
"Native","Oreomyrrhis eriopoda","Dargo2.1",NA
"Native","Oxalis exilis","Dargo2.1",1
"Native","Oxalis perennans","Dargo2.1",NA
"Native","Ozothamnus ferrugineus","Dargo2.1",NA
"Native","Ozothamnus thyrsoideus","Dargo2.1",NA
"Native","Pandorea pandorana","Dargo2.1",NA
"Exotic","Paspalum dilatatum","Dargo2.1",1
"Native","Persoonia confertiflora","Dargo2.1",NA
"Exotic","Petrorhagia velutina","Dargo2.1",NA
"Exotic","Phleum pratense","Dargo2.1",NA
"Native","Pimelea axiflora","Dargo2.1",NA
"Native","Plantago coronopus","Dargo2.1",NA
"Native","Plantago debilis","Dargo2.1",NA
"Exotic","Plantago lanceolata","Dargo2.1",1
"Exotic","Plantago major","Dargo2.1",NA
"Native","Plantago varia","Dargo2.1",NA
"Exotic","Poa annua","Dargo2.1",NA
"Native","Poa clivicola","Dargo2.1",NA
"Native","Poa ensiformis","Dargo2.1",NA
"Native","Poa fawcettiae","Dargo2.1",NA
"Native","Poa hiemata","Dargo2.1",NA
"Native","Poa labillardierei","Dargo2.1",NA
"Native","Poa sieberiana s.l.","Dargo2.1",NA
"Native","Podolobium alpestre","Dargo2.1",NA
"Exotic","Polygonum aviculare","Dargo2.1",NA
"Native","Polyscias sambucifolia","Dargo2.1",NA
"Native","Polystichum proliferum","Dargo2.1",NA
"Native","Poranthera microphylla","Dargo2.1",NA
"Native","Prasophyllum alpinum","Dargo2.1",NA
"Exotic","Prunella vulgaris","Dargo2.1",NA
"Exotic","Pseudognaphalium luteoalbum","Dargo2.1",NA
"Native","Pteridium esculentum","Dargo2.1",NA
"Native","Pterostylis spp.","Dargo2.1",NA
"Native","Pultenaea forsythiana","Dargo2.1",NA
"Native","Ranunculus graniticola","Dargo2.1",NA
"Exotic","Rosa rubiginosa","Dargo2.1",NA
"Exotic","Rubus fruticosus spp. agg.","Dargo2.1",1
"Native","Rubus parvifolius","Dargo2.1",NA
"Native","Rumex brownii","Dargo2.1",NA
"Exotic","Rumex spp.","Dargo2.1",NA
"Native","Rytidosperma pallidum","Dargo2.1",NA
"Native","Rytidosperma spp.","Dargo2.1",2
"Native","Schoenus apogon","Dargo2.1",NA
"Native","Scleranthus biflorus","Dargo2.1",NA
"Native","Senecio gunnii","Dargo2.1",NA
"Native","Senecio linearifolius s.l.","Dargo2.1",NA
"Native","Senecio pinnatifolius s.l.","Dargo2.1",NA
"Native","Senecio quadridentatus","Dargo2.1",1
"Native","Senecio spp.","Dargo2.1",1
"Native","Senecio tenuiflorus","Dargo2.1",NA
"Native","Setaria parviflora","Dargo2.1",1
"Exotic","Sisyrinchium iridifolium","Dargo2.1",NA
"Exotic","Solanum americanum","Dargo2.1",NA
"Exotic","Solanum cinereum","Dargo2.1",NA
"Exotic","Solanum nigrum","Dargo2.1",1
"Exotic","Sonchus asper","Dargo2.1",NA
"Exotic","Sonchus oleraceus","Dargo2.1",NA
"Exotic","Spergularia rubra","Dargo2.1",NA
"Exotic","Sporobolus africanus","Dargo2.1",1
"Native","Stellaria pungens","Dargo2.1",NA
"Native","Stylidium spp.","Dargo2.1",NA
"Exotic","Taraxacum officinale spp. agg.","Dargo2.1",NA
"Native","Tetrarrhena juncea","Dargo2.1",NA
"Native","Thelymitra spp.","Dargo2.1",NA
"Exotic","Trifolium arvense","Dargo2.1",NA
"Exotic","Trifolium campestre","Dargo2.1",NA
"Exotic","Trifolium hybridum","Dargo2.1",NA
"Exotic","Trifolium pratense","Dargo2.1",NA
"Exotic","Trifolium repens","Dargo2.1",NA
"Exotic","Trifolium subterraneum","Dargo2.1",NA
"Exotic","Verbascum thapsus","Dargo2.1",NA
"Exotic","Verbascum virgatum","Dargo2.1",1
"Exotic","Verbena bonariensis","Dargo2.1",NA
"Exotic","Veronica arvensis","Dargo2.1",NA
"Native","Veronica calycina","Dargo2.1",1
"Exotic","Veronica persica","Dargo2.1",NA
"Exotic","Vicia sativa","Dargo2.1",NA
"Exotic","Viola arvensis","Dargo2.1",NA
"Native","Viola betonicifolia","Dargo2.1",NA
"Native","Viola hederacea","Dargo2.1",NA
"Native","Vittadinia spp.","Dargo2.1",NA
"Exotic","Vulpia bromoides","Dargo2.1",NA
"Exotic","Vulpia myuros","Dargo2.1",1
"Native","Wahlenbergia gloriosa","Dargo2.1",NA
"Native","Wahlenbergia spp.","Dargo2.1",2
"Native","Xerochrysum bracteatum","Dargo2.1",NA
"Native","Xerochrysum subundulatum","Dargo2.1",NA
"Native","Acacia dealbata","Dargo3.1",NA
"Native","Acacia falciformis","Dargo3.1",1
"Native","Acacia mearnsii","Dargo3.1",NA
"Native","Acacia melanoxylon","Dargo3.1",NA
"Native","Acacia obliquinervia","Dargo3.1",NA
"Native","Acacia pycnantha","Dargo3.1",NA
"Native","Acacia terminalis","Dargo3.1",NA
"Native","Acaena agnipila","Dargo3.1",NA
"Native","Acaena echinata","Dargo3.1",1
"Native","Acaena novae-zelandiae","Dargo3.1",NA
"Exotic","Acetosella vulgaris","Dargo3.1",NA
"Native","Agrostis aemula","Dargo3.1",1
"Exotic","Agrostis capillaris s.l.","Dargo3.1",2
"Native","Eragrostis cilianensis","Dargo3.1",NA
"Exotic","Aira caryophyllea","Dargo3.1",1
"Exotic","Aira cupaniana","Dargo3.1",NA
"Exotic","Aira elegantissima","Dargo3.1",NA
"Exotic","Anagallis arvensis s.l.","Dargo3.1",1
"Exotic","Anthoxanthum odoratum","Dargo3.1",NA
"Native","Aphanes arvensis","Dargo3.1",NA
"Exotic","Arctotheca calendula","Dargo3.1",NA
"Native","Arthropodium milleflorum","Dargo3.1",NA
"Native","Asperula conferta","Dargo3.1",NA
"Native","Asperula gunnii","Dargo3.1",NA
"Native","Asperula pusilla","Dargo3.1",NA
"Native","Asperula scoparia","Dargo3.1",NA
"Native","Austrostipa spp.","Dargo3.1",1
"Native","Billardiera mutabilis","Dargo3.1",NA
"Native","Billardiera scandens","Dargo3.1",NA
"Native","Bothriochloa macra","Dargo3.1",2
"Native","Brachyscome decipiens","Dargo3.1",NA
"Native","Brachyscome spathulata","Dargo3.1",NA
"Native","Bracteantha viscosa","Dargo3.1",NA
"Exotic","Briza maxima","Dargo3.1",3
"Exotic","Briza minor","Dargo3.1",1
"Exotic","Bromus catharticus s.l.","Dargo3.1",NA
"Exotic","Bromus hordeaceus","Dargo3.1",1
"Native","Bursaria spinosa s.l.","Dargo3.1",NA
"Native","Carex appressa","Dargo3.1",NA
"Native","Carex breviculmis","Dargo3.1",NA
"Native","Carex gaudichaudiana","Dargo3.1",NA
"Native","Cassinia aculeata","Dargo3.1",NA
"Native","Cassinia longifolia","Dargo3.1",1
"Native","Celmisia tomentella","Dargo3.1",NA
"Exotic","Centaurium erythraea","Dargo3.1",1
"Exotic","Cerastium glomeratum","Dargo3.1",NA
"Exotic","Cerastium vulgare","Dargo3.1",NA
